Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Agincourt,Lounge,Latin American Restaurant,Skating Rink,Breakfast Spot,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Alderwood, Long Branch",Pizza Place,Coffee Shop,Skating Rink,Dance Studio,Pharmacy,Pool,Pub,Sandwich Place,Gym,American Restaurant
"Bathurst Manor, Wilson Heights, Downsview North",Coffee Shop,Bank,Park,Fried Chicken Joint,Bridal Shop,Sandwich Place,Diner,Deli / Bodega,Restaurant,Ice Cream Shop
Bayview Village,Café,Bank,Chinese Restaurant,Japanese Restaurant,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Bedford Park, Lawrence Manor East",Coffee Shop,Sandwich Place,Italian Restaurant,Restaurant,Thai Restaurant,Juice Bar,Indian Restaurant,Butcher,Café,Pub
Berczy Park,Coffee Shop,Cocktail Bar,Restaurant,Bakery,Beer Bar,Cheese Shop,Café,Seafood Restaurant,Irish Pub,Beach
"Birch Cliff, Cliffside West",College Stadium,General Entertainment,Skating Rink,Café,Comic Shop,Concert Hall,Ethiopian Restaurant,Electronics Store,Colombian Restaurant,Eastern European Restaurant
"Brockton, Parkdale Village, Exhibition Place",Café,Coffee Shop,Breakfast Spot,Nightclub,Performing Arts Venue,Stadium,Burrito Place,Restaurant,Climbing Gym,Pet Store
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",Light Rail Station,Auto Workshop,Comic Shop,Park,Pizza Place,Recording Studio,Restaurant,Butcher,Burrito Place,Brewery
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Airport Service,Airport Terminal,Airport Lounge,Boutique,Rental Car Location,Plane,Sculpture Garden,Boat or Ferry,Airport Food Court,Airport
Caledonia-Fairbanks,Park,Pool,Women's Store,Greek Restaurant,Event Space,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop,Doner Restaurant
Canada Post Gateway Processing Centre,Hotel,Coffee Shop,Gym,American Restaurant,Middle Eastern Restaurant,Intersection,Mediterranean Restaurant,Sandwich Place,Fried Chicken Joint,Burrito Place
Cedarbrae,Hakka Restaurant,Thai Restaurant,Bank,Fried Chicken Joint,Athletics & Sports,Caribbean Restaurant,Gas Station,Bakery,Doner Restaurant,Dog Run
Central Bay Street,Coffee Shop,Italian Restaurant,Café,Sandwich Place,Japanese Restaurant,Department Store,Salad Place,Bubble Tea Shop,Burger Joint,Restaurant
Christie,Grocery Store,Café,Park,Athletics & Sports,Diner,Italian Restaurant,Restaurant,Baby Store,Candy Store,Coffee Shop
Church and Wellesley,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Bubble Tea Shop,Burger Joint,Pub,Café,Men's Store
"Clarks Corners, Tam O'Shanter, Sullivan",Pizza Place,Fried Chicken Joint,Convenience Store,Rental Car Location,Italian Restaurant,Chinese Restaurant,Thai Restaurant,Bank,Gas Station,Noodle House
"Cliffside, Cliffcrest, Scarborough Village West",American Restaurant,Skating Rink,Motel,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Women's Store
"Commerce Court, Victoria Hotel",Coffee Shop,Café,Restaurant,Hotel,Gym,American Restaurant,Japanese Restaurant,Seafood Restaurant,Deli / Bodega,Italian Restaurant
Davisville,Pizza Place,Dessert Shop,Sandwich Place,Café,Italian Restaurant,Gym,Coffee Shop,Sushi Restaurant,Thai Restaurant,Pharmacy
Davisville North,Gym / Fitness Center,Hotel,Breakfast Spot,Food & Drink Shop,Sandwich Place,Department Store,Park,Pizza Place,Concert Hall,Dim Sum Restaurant
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",Discount Store,Fast Food Restaurant,Restaurant,Fried Chicken Joint,Sandwich Place,Women's Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
Don Mills,Japanese Restaurant,Asian Restaurant,Gym,Restaurant,Beer Store,Coffee Shop,Café,Baseball Field,Caribbean Restaurant,Supermarket
"Dorset Park, Wexford Heights, Scarborough Town Centre",Indian Restaurant,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
Downsview,Grocery Store,Park,Snack Place,Athletics & Sports,Shopping Mall,Business Service,Food Truck,Discount Store,Baseball Field,Bank
"Dufferin, Dovercourt Village",Pharmacy,Bakery,Grocery Store,Supermarket,Café,Middle Eastern Restaurant,Portuguese Restaurant,Bar,Bank,Pet Store
"East Toronto, Broadview North (Old East York)",Convenience Store,Park,Coffee Shop,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",Pet Store,Coffee Shop,Café,Liquor Store,Shopping Plaza,Beer Store,Convenience Store,Pizza Place,Pharmacy,Drugstore
"Fairview, Henry Farm, Oriole",Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Bank,Bakery,Convenience Store,Japanese Restaurant,Food Court,Jewelry Store
"First Canadian Place, Underground city",Coffee Shop,Café,Japanese Restaurant,Restaurant,Gym,Hotel,Deli / Bodega,Asian Restaurant,American Restaurant,Steakhouse
"Forest Hill North & West, Forest Hill Road Park",Trail,Park,Sushi Restaurant,Jewelry Store,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Garden District, Ryerson",Clothing Store,Coffee Shop,Italian Restaurant,Café,Bubble Tea Shop,Japanese Restaurant,Middle Eastern Restaurant,Cosmetics Shop,Theater,Fast Food Restaurant
Glencairn,Sushi Restaurant,Japanese Restaurant,Pizza Place,Asian Restaurant,Pub,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
"Golden Mile, Clairlea, Oakridge",Bus Line,Bakery,Soccer Field,Ice Cream Shop,Metro Station,Bus Station,Intersection,Park,General Entertainment,Deli / Bodega
"Guildwood, Morningside, West Hill",Medical Center,Rental Car Location,Breakfast Spot,Electronics Store,Mexican Restaurant,Bank,Intersection,Dog Run,Discount Store,Distribution Center
"Harbourfront East, Union Station, Toronto Islands",Coffee Shop,Aquarium,Hotel,Café,Fried Chicken Joint,Brewery,Restaurant,Italian Restaurant,Scenic Lookout,Sporting Goods Shop
"High Park, The Junction South",Park,Café,Thai Restaurant,Mexican Restaurant,Grocery Store,Furniture / Home Store,Fast Food Restaurant,Bookstore,Diner,Flea Market
Hillcrest Village,Pool,Mediterranean Restaurant,Athletics & Sports,Golf Course,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
Humber Summit,Furniture / Home Store,Pizza Place,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
"Humberlea, Emery",Food Service,Baseball Field,Women's Store,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Dessert Shop
Humewood-Cedarvale,Field,Playground,Tennis Court,Trail,Hockey Arena,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner
"India Bazaar, The Beaches West",Park,Sandwich Place,Fast Food Restaurant,Sushi Restaurant,Pub,Light Rail Station,Burrito Place,Italian Restaurant,Fish & Chips Shop,Restaurant
"Kennedy Park, Ionview, East Birchmount Park",Department Store,Bus Station,Discount Store,Coffee Shop,Convenience Store,Chinese Restaurant,Dog Run,Dim Sum Restaurant,Diner,Distribution Center
"Kensington Market, Chinatown, Grange Park",Café,Coffee Shop,Mexican Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Bakery,Dessert Shop,Grocery Store,Bar,Park
"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",Park,Sandwich Place,Mobile Phone Shop,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop,Doner Restaurant,College Rec Center,Distribution Center
"Lawrence Manor, Lawrence Heights",Clothing Store,Furniture / Home Store,Accessories Store,Coffee Shop,Sporting Goods Shop,Miscellaneous Shop,Event Space,Boutique,Vietnamese Restaurant,Construction & Landscaping
Lawrence Park,Park,Swim School,Bus Line,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant,Department Store
Leaside,Coffee Shop,Bank,Sporting Goods Shop,Burger Joint,Furniture / Home Store,Beer Store,Supermarket,Dessert Shop,Sports Bar,Fish & Chips Shop
"Little Portugal, Trinity",Bar,Asian Restaurant,Restaurant,Café,Vegetarian / Vegan Restaurant,Coffee Shop,Men's Store,Yoga Studio,Miscellaneous Shop,Brewery
"Malvern, Rouge",Fast Food Restaurant,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Women's Store,Department Store
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",Park,Playground,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop
"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",Gym,Convenience Store,Discount Store,Burrito Place,Sandwich Place,Burger Joint,Supplement Shop,Social Club,Bakery,Hardware Store
"Moore Park, Summerhill East",Restaurant,Summer Camp,Trail,Gym,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop,Doner Restaurant
"New Toronto, Mimico South, Humber Bay Shores",Gym,Coffee Shop,Bakery,Fried Chicken Joint,Liquor Store,Café,Mexican Restaurant,American Restaurant,Restaurant,Pizza Place
"North Park, Maple Leaf Park, Upwood Park",Park,Basketball Court,Bakery,Construction & Landscaping,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
"North Toronto West, Lawrence Park",Clothing Store,Coffee Shop,Chinese Restaurant,Spa,Shoe Store,Salon / Barbershop,Restaurant,Rental Car Location,Café,Yoga Studio
"Northwest, West Humber - Clairville",Rental Car Location,Drugstore,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
"Northwood Park, York University",Massage Studio,Caribbean Restaurant,Vietnamese Restaurant,Bar,Coffee Shop,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",Construction & Landscaping,Baseball Field,Women's Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
"Parkdale, Roncesvalles",Breakfast Spot,Gift Shop,Restaurant,Movie Theater,Eastern European Restaurant,Dog Run,Italian Restaurant,Bar,Dessert Shop,Cuban Restaurant
"Parkview Hill, Woodbine Gardens",Pizza Place,Pet Store,Athletics & Sports,Gastropub,Intersection,Fast Food Restaurant,Pharmacy,Bank,Gym / Fitness Center,American Restaurant
Parkwoods,Food & Drink Shop,Park,Bus Stop,Convenience Store,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Queen's Park, Ontario Provincial Government",Coffee Shop,Sushi Restaurant,Yoga Studio,Bank,Beer Bar,Smoothie Shop,Sandwich Place,Burrito Place,Restaurant,Café
"Regent Park, Harbourfront",Coffee Shop,Park,Pub,Bakery,Theater,Breakfast Spot,Café,Ice Cream Shop,Spa,Beer Store
"Richmond, Adelaide, King",Coffee Shop,Café,Restaurant,Thai Restaurant,Clothing Store,Gym,Deli / Bodega,Hotel,Steakhouse,Bakery
Rosedale,Park,Playground,Trail,Electronics Store,Eastern European Restaurant,Ethiopian Restaurant,Drugstore,Donut Shop,Doner Restaurant,Dance Studio
Roselawn,Ice Cream Shop,Home Service,Garden,Music Venue,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
"Rouge Hill, Port Union, Highland Creek",Bar,Women's Store,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Fast Food Restaurant
"Runnymede, Swansea",Coffee Shop,Café,Italian Restaurant,Pub,Pizza Place,Sushi Restaurant,Indie Movie Theater,Fish & Chips Shop,Falafel Restaurant,Latin American Restaurant
"Runnymede, The Junction North",Grocery Store,Breakfast Spot,Brewery,Bus Line,Women's Store,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run
Scarborough Village,Smoke Shop,Playground,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Donut Shop
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",Grocery Store,Fried Chicken Joint,Fast Food Restaurant,Beer Store,Sandwich Place,Liquor Store,Pharmacy,Pizza Place,Comic Shop,Dim Sum Restaurant
St. James Town,Coffee Shop,Café,Cocktail Bar,Restaurant,American Restaurant,Gastropub,Moroccan Restaurant,Cosmetics Shop,Lingerie Store,Gym
"St. James Town, Cabbagetown",Coffee Shop,Restaurant,Café,Italian Restaurant,Bakery,Pub,Pizza Place,Yoga Studio,Pet Store,Bookstore
"Steeles West, L'Amoreaux West",Chinese Restaurant,Grocery Store,Electronics Store,Fast Food Restaurant,Burger Joint,Sandwich Place,Discount Store,Bank,Indian Restaurant,Breakfast Spot
Stn A PO Boxes,Coffee Shop,Café,Italian Restaurant,Beer Bar,Seafood Restaurant,Cocktail Bar,Japanese Restaurant,Restaurant,Art Gallery,Bakery
Studio District,Café,Coffee Shop,Bakery,Brewery,Gastropub,American Restaurant,Yoga Studio,Comfort Food Restaurant,Seafood Restaurant,Sandwich Place
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Pub,Coffee Shop,Sports Bar,Liquor Store,Supermarket,Bagel Shop,Vietnamese Restaurant,Sushi Restaurant,Light Rail Station,American Restaurant
"The Annex, North Midtown, Yorkville",Sandwich Place,Café,Coffee Shop,Park,History Museum,Donut Shop,Burger Joint,Indian Restaurant,Middle Eastern Restaurant,Pub
The Beaches,Trail,Health Food Store,Pub,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
"The Danforth West, Riverdale",Greek Restaurant,Italian Restaurant,Coffee Shop,Bookstore,Restaurant,Furniture / Home Store,Ice Cream Shop,Caribbean Restaurant,Pub,Café
"The Kingsway, Montgomery Road, Old Mill North",Park,Pool,River,College Stadium,Dance Studio,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop,Doner Restaurant
Thorncliffe Park,Sandwich Place,Indian Restaurant,Yoga Studio,Middle Eastern Restaurant,Burger Joint,Restaurant,Pizza Place,Pharmacy,Coffee Shop,Discount Store
"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Restaurant,American Restaurant,Deli / Bodega,Salad Place,Japanese Restaurant,Seafood Restaurant,Italian Restaurant
"University of Toronto, Harbord",Café,Bakery,Italian Restaurant,Japanese Restaurant,Bar,Bookstore,Restaurant,Bank,Beer Bar,Beer Store
Victoria Village,Hockey Arena,Portuguese Restaurant,Intersection,Pizza Place,Coffee Shop,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
Westmount,Pizza Place,Discount Store,Middle Eastern Restaurant,Intersection,Coffee Shop,Sandwich Place,Chinese Restaurant,Women's Store,Dim Sum Restaurant,Diner
Weston,Convenience Store,Park,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Women's Store
"Wexford, Maryvale",Middle Eastern Restaurant,Smoke Shop,Bakery,Breakfast Spot,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Women's Store
"Willowdale, Willowdale East",Ramen Restaurant,Sandwich Place,Restaurant,Pizza Place,Café,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Electronics Store,Plaza
"Willowdale, Willowdale West",Butcher,Grocery Store,Bank,Pharmacy,Pizza Place,Coffee Shop,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner
Woburn,Coffee Shop,Indian Restaurant,Korean Restaurant,Soccer Field,Comic Shop,Comfort Food Restaurant,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store
Woodbine Heights,Skating Rink,Park,Bus Stop,Curling Ice,Pharmacy,Athletics & Sports,Spa,Beer Store,Diner,Dog Run
York Mills West,Flower Shop,Park,Electronics Store,Convenience Store,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
